Model,Train_RMSE,Test_RMSE,Train_R2,Test_R2
K-Neighbors,0.33,0.34,0.9999,0.9999
Gradient Boosting,0.65,2.0,0.9995,0.9949
Decision Tree,0.9095093968909818,2.5598913410279414,0.9990648893220022,0.9915610652278809
Random Forest,1.383275420459061,3.153511949461234,0.9978369530045224,0.9871934093080913
AdaBoost,22.55,20.52,0.4234,0.4572
Ridge Regression,22.60144176022727,20.590840863042462,0.42254130751562746,0.45399988809556624
Linear Regression,22.60144175892641,20.590848576756965,0.4225413075821005,0.45399947901176063
Lasso Regression,22.71136731541147,20.629244743701875,0.4169105310183757,0.45196130429762904
ElasticNet,23.48759427574257,21.34019486115092,0.3763718539262033,0.41353603958451024
